asset,model,horizon,n_origins,log_rmse,coverage,wilson_lo,wilson_hi
gurkor,RW-t,1,66,0.00313801427971033,0.9848484848484849,0.9190388760177447,0.9973204284655434
gurkor,RW-t,50,66,0.024521524895306127,0.9848484848484849,0.9190388760177447,0.9973204284655434
gurkor,RW-t,100,66,0.036436489643295884,0.9696969696969697,0.8960728112941316,0.9916502649240535
gurkor,RW-t,200,66,0.049636494868756424,0.9696969696969697,0.8960728112941316,0.9916502649240535
slingshots,ARIMA-G,1,66,0.01479730039248462,0.9242424242424242,0.834605945487485,0.9672084459353918
slingshots,ARIMA-G,50,66,0.10063668151122698,0.8939393939393939,0.7968747426118539,0.9476671922808175
slingshots,ARIMA-G,100,66,0.13037140024351948,0.9242424242424242,0.834605945487485,0.9672084459353918
slingshots,ARIMA-G,200,66,0.17826345510425412,0.9090909090909091,0.8155105617491718,0.9576676014086023
slingshots,ARIMA-t,1,66,0.01479730039248462,0.9242424242424242,0.834605945487485,0.9672084459353918
slingshots,ARIMA-t,50,66,0.10063668151122698,0.9393939393939394,0.8542688489926583,0.9761817706953214
slingshots,ARIMA-t,100,66,0.13037140024351948,0.9393939393939394,0.8542688489926583,0.9761817706953214
slingshots,ARIMA-t,200,66,0.17826345510425412,0.9696969696969697,0.8960728112941316,0.9916502649240535
slingshots,RW-G,1,66,0.01466660012869183,0.9545454545454546,0.8746648398478928,0.9844220081051896
slingshots,RW-G,50,66,0.1017372288043388,0.9242424242424242,0.834605945487485,0.9672084459353918
slingshots,RW-G,100,66,0.13284754424089,0.9242424242424242,0.834605945487485,0.9672084459353918
slingshots,RW-G,200,66,0.18469588841076173,0.9242424242424242,0.834605945487485,0.9672084459353918
slingshots,RW-t,1,66,0.01466660012869183,0.9545454545454546,0.8746648398478928,0.9844220081051896
slingshots,RW-t,50,66,0.1017372288043388,0.9545454545454546,0.8746648398478928,0.9844220081051896
slingshots,RW-t,100,66,0.13284754424089,0.9393939393939394,0.8542688489926583,0.9761817706953214
slingshots,RW-t,200,66,0.18469588841076173,0.9696969696969697,0.8960728112941316,0.9916502649240535
stocks,ARIMA-G,1,66,0.01301868829073328,0.9545454545454546,0.8746648398478928,0.9844220081051896
stocks,ARIMA-G,50,66,0.10592074514021393,0.9696969696969697,0.8960728112941316,0.9916502649240535
stocks,ARIMA-G,100,66,0.15626273002747998,0.9696969696969697,0.8960728112941316,0.9916502649240535
stocks,ARIMA-G,200,66,0.19275340350742026,0.9545454545454546,0.8746648398478928,0.9844220081051896
