asset,model,origin,u_pit
gurkor,RW-t,1950,0.6665652315332384
gurkor,ARIMA-G,1950,0.7629923543028141
gurkor,ARIMA-t,1950,0.7565434216654863
gurkor,RW-G,2000,0.7449836458604713
gurkor,RW-t,2000,0.739049142253491
gurkor,ARIMA-G,2000,0.8312438160725482
gurkor,ARIMA-t,2000,0.8222725028929192
gurkor,RW-G,2050,0.664190951676028
gurkor,RW-t,2050,0.6605822120472871
gurkor,ARIMA-G,2050,0.7902620285767772
gurkor,ARIMA-t,2050,0.7827313494535149
gurkor,RW-G,2100,0.3932261618805162
gurkor,RW-t,2100,0.3953884788731117
gurkor,ARIMA-G,2100,0.5548406880049963
gurkor,ARIMA-t,2100,0.5537712457944024
gurkor,RW-G,2150,0.7107563770827251
gurkor,RW-t,2150,0.7059866568228654
gurkor,ARIMA-G,2150,0.8078093051956516
gurkor,ARIMA-t,2150,0.7998757909860347
gurkor,RW-G,2200,0.5852829077350061
gurkor,RW-t,2200,0.5836147719507527
gurkor,ARIMA-G,2200,0.7210183419661931
gurkor,ARIMA-t,2200,0.7160419754035423
gurkor,RW-G,2250,0.7610394012421033
gurkor,RW-t,2250,0.7548495722765458
gurkor,ARIMA-G,2250,0.8693003758863957
gurkor,ARIMA-t,2250,0.8593339776563059
gurkor,RW-G,2300,0.9871048439694698
gurkor,RW-t,2300,0.9778519543139405
gurkor,ARIMA-G,2300,0.994060550043797
gurkor,ARIMA-t,2300,0.9870797175882372
gurkor,RW-G,2350,0.97904894761637
gurkor,RW-t,2350,0.968593551706527
gurkor,ARIMA-G,2350,0.9899903028457684
gurkor,ARIMA-t,2350,0.9816859422154506
gurkor,RW-G,2400,0.9853922835501824
gurkor,RW-t,2400,0.9760508969748524
gurkor,ARIMA-G,2400,0.9933300338492485
gurkor,ARIMA-t,2400,0.9862677730407212
gurkor,RW-G,2450,0.8489729970365176
gurkor,RW-t,2450,0.839890101160236
gurkor,ARIMA-G,2450,0.928702340165104
gurkor,ARIMA-t,2450,0.9173869619056236
gurkor,RW-G,2500,0.476988134219764
gurkor,RW-t,2500,0.4774036086338026
gurkor,ARIMA-G,2500,0.6828391481593551
gurkor,ARIMA-t,2500,0.679155830800183
gurkor,RW-G,2550,0.4930842518549123
gurkor,RW-t,2550,0.4932097669089273
gurkor,ARIMA-G,2550,0.6880197718865713
gurkor,ARIMA-t,2550,0.6841771539089848
gurkor,RW-G,2600,0.282013021631216
gurkor,RW-t,2600,0.286758814018592
gurkor,ARIMA-G,2600,0.4889045060568437
gurkor,ARIMA-t,2600,0.4891049253232083
gurkor,RW-G,2850,0.390555295197378
gurkor,RW-t,2850,0.3926018452835397
gurkor,ARIMA-G,2850,0.603186064816486
gurkor,ARIMA-t,2850,0.6012958580787635
gurkor,RW-G,2900,0.6179650927034448
gurkor,RW-t,2900,0.6156955585786474
gurkor,ARIMA-G,2900,0.7838806822671758
gurkor,ARIMA-t,2900,0.777243938278459
gurkor,RW-G,2950,0.421610522117477
gurkor,RW-t,2950,0.4230720641341973
gurkor,ARIMA-G,2950,0.6184538819026508
