asset,method,n_folds,rmse_log,rmse_pct,rmse_calm,rmse_turb,fold_rmse_std,coverage95,cov_lo,cov_hi,crps
slingshots,univ_garch,70,0.03811540928355003,3.885111902373928,0.02778847594098112,0.04465156513490795,0.019274873315469822,94.0,93.1639328992246,94.73958774227872,0.019646975011301082
slingshots,biv_const,70,0.026998605294968323,2.736636988944463,0.023081576424821223,0.029576871958012688,0.012398892868450499,97.88235294117648,97.34164263241982,98.31498648473315,0.014975060591025107
slingshots,biv_garch,70,0.026885200281879323,2.7249867998894173,0.023418712132177413,0.029197253710604942,0.012333054431305472,96.11764705882354,95.41456460738613,96.71663591822558,0.01458196484417879
slingshots,biv_t,70,0.026885200281879323,2.7249867998894173,0.023418712132177413,0.029197253710604942,0.012333054431305472,98.73529411764706,98.30088522715693,99.05970104257432,0.015311553804683888
stocks,linear,65,0.04324957777247419,4.419847106067332,0.04485925805906813,0.0415242919973477,0.015456480744038867,,,,
stocks,spline,65,0.14898216519228635,16.06522890140971,0.1434684120804195,0.1544622169323363,0.08121100398112756,,,,
stocks,univ_const,65,0.04324957777247419,4.419847106067332,0.04485925805906813,0.0415242919973477,0.015456480744038867,95.47692307692309,94.7071883088073,96.1392784723787,0.023818760227447406
stocks,univ_garch,65,0.043258187676472167,4.420746154796751,0.04482194355037257,0.04158402017623319,0.0154002268989311,96.39999999999999,95.70279279950753,96.98764827358346,0.02381479171809885
sugar,linear,64,0.041113373321472295,4.197023047514947,0.03057101410845822,0.04855021618269598,0.01946209866621791,,,,
sugar,spline,64,0.17092167593415353,18.63978218814224,0.11835351128204236,0.2064748543642636,0.12190691867889791,,,,
sugar,univ_const,64,0.041113373321472295,4.197023047514947,0.03057101410845822,0.04855021618269598,0.0194620986662179,94.5625,93.72206850192029,95.29606915117682,0.021705253444613683
sugar,univ_garch,64,0.04064094234325329,4.147808772078587,0.030310602419831422,0.047941734820832915,0.0189318516714362,96.65625,95.97529253746953,97.22532423397085,0.021310337192023195
sugar,biv_const,64,0.03731999481970527,3.80251303630994,0.028259544313650502,0.04358420293319927,0.017102901673137737,97.42857142857143,96.8153835419716,97.9262209113256,0.02006399155604056
sugar,biv_garch,64,0.03688293415078062,3.757154953365305,0.027720845455718134,0.043188093906139285,0.016840569796674178,97.68253968253968,97.09615810050934,98.15276418118569,0.019557204883696205
sugar,biv_t,64,0.03688293415078062,3.757154953365305,0.027720845455718134,0.043188093906139285,0.016840569796674178,99.36507936507937,99.02129797342143,99.58860492140933,0.02031864127228151
water,linear,72,0.010004727699452994,1.005494230907833,0.009173471347150387,0.010693852013333486,0.0036573181642365633,,,,
water,spline,72,0.03794071660023363,3.8669655184854657,0.03547525752872238,0.04001810833308817,0.023317235815706185,,,,
water,univ_const,72,0.010004727699452994,1.005494230907833,0.009173471347150387,0.010693852013333487,0.0036573181642365633,93.72222222222221,92.88231209035624,94.46892230690102,0.005544479621810423
water,univ_garch,72,0.00999539941953912,1.0045520277793818,0.009186321721720675,0.0106674214534529,0.0036519625459877055,95.83333333333334,95.13024532535555,96.43871068193448,0.005511381569144062
water,biv_const,72,0.006944097047878816,0.6968263194755853,0.0059338543748099085,0.007736981410453212,0.0030115000661454627,97.05555555555556,96.45120166477858,97.55959316937249,0.003829473555389431
water,biv_garch,72,0.006946373121796678,0.6970555131564193,0.005951322678401911,0.007728843707751198,0.0030209093846236923,97.66666666666667,97.12038136180465,98.11133288577696,0.0038278897191042897
water,biv_t,72,0.006946373121796678,0.6970555131564193,0.005951322678401911,0.007728843707751198,0.0030209093846236923,99.25,98.91096920347289,99.48403625163328,0.00402120695226633
